playerid,playername,playerpos,dtstart,dtstop,sessionid,sessiondesc,phaseid,phasename,aal,speedmax,jumps,physioload,exertions,distancetotal
2,Caden Powell,Big,2024-03-06 01:36:20,2024-03-06 01:43:16,184,Air Force,1993,Segment 1,5.474697,0.651295,0,2.716295,0,12.362338
2,Caden Powell,Big,2024-03-06 01:45:39,2024-03-06 01:48:32,184,Air Force,1995,Segment 2,2.325231,0.83435,0,1.437823,0,6.543786
2,Caden Powell,Big,2024-03-06 01:50:59,2024-03-06 01:55:59,184,Air Force,1997,Segment 3,79.374259,6.342141,2,104.547106,20,475.812377
2,Caden Powell,Big,2024-03-06 01:58:21,2024-03-06 02:04:11,184,Air Force,1999,Segment 4,16.458724,5.190336,1,20.33122,1,92.530981
2,Caden Powell,Big,2024-03-06 02:06:23,2024-03-06 02:09:53,184,Air Force,2001,Segment 5,44.022584,6.409624,2,61.744151,6,281.008555
2,Caden Powell,Big,2024-03-06 02:10:39,2024-03-06 02:13:05,184,Air Force,2003,Segment 5,2.08971,0.972597,0,1.436441,0,6.537498
2,Caden Powell,Big,2024-03-06 02:29:08,2024-03-06 02:36:21,184,Air Force,2005,Segment 6,2.320341,0.460427,0,0.549479,0,2.500778
2,Caden Powell,Big,2024-03-06 02:39:07,2024-03-06 02:41:41,184,Air Force,2007,Segment 6,1.476254,0.458183,0,0.611243,0,2.781873
2,Caden Powell,Big,2024-03-06 02:44:02,2024-03-06 02:44:26,184,Air Force,2009,Segment 7,0.056706,0.0,0,0.0,0,0.0
2,Caden Powell,Big,2024-03-06 02:46:43,2024-03-06 02:51:49,184,Air Force,2011,Segment 7,56.479315,5.462167,4,74.421329,15,338.704634
2,Caden Powell,Big,2024-03-06 02:54:10,2024-03-06 02:59:27,184,Air Force,2013,Segment 8,72.103354,6.067072,3,92.62333,13,421.545164
2,Caden Powell,Big,2024-03-06 03:02:01,2024-03-06 03:09:46,184,Air Force,2015,Segment 9,2.588424,0.482442,0,1.057084,0,4.810976
2,Caden Powell,Big,2024-03-06 03:12:39,2024-03-06 03:15:03,184,Air Force,2017,Segment 10,1.86362,0.65153,0,1.171834,0,5.333222
2,Caden Powell,Big,2024-03-06 03:16:49,2024-03-06 03:20:19,184,Air Force,2019,Segment 10,1.065176,0.305999,0,0.185412,0,0.843842
2,Caden Powell,Big,2024-02-28 02:06:22,2024-02-28 02:12:28,178,UNLV,1885,Segment 1,87.947772,5.210575,2,113.541511,13,516.747505
2,Caden Powell,Big,2024-02-28 02:14:54,2024-02-28 02:22:27,178,UNLV,1887,Segment 2,27.773749,4.342502,1,29.800367,3,135.626741
2,Caden Powell,Big,2024-02-28 02:25:26,2024-02-28 02:31:20,178,UNLV,1889,Segment 3,56.620798,5.966286,3,73.39019,5,334.01174
2,Caden Powell,Big,2024-02-28 02:34:06,2024-02-28 02:41:39,178,UNLV,1891,Segment 4,23.343363,4.331465,1,31.573105,3,143.694786
2,Caden Powell,Big,2024-02-28 02:44:56,2024-02-28 02:49:03,178,UNLV,1893,Segment 5,2.4197,0.629901,0,1.037935,0,4.723826
2,Caden Powell,Big,2024-02-28 02:50:27,2024-02-28 02:50:37,178,UNLV,1895,Segment 5,0.284225,0.821176,0,0.531336,0,2.418202
2,Caden Powell,Big,2024-02-28 02:51:21,2024-02-28 02:52:25,178,UNLV,1897,Segment 5,0.635373,0.260671,0,0.148752,0,0.676995
2,Caden Powell,Big,2024-02-28 03:08:25,2024-02-28 03:13:42,178,UNLV,1899,Segment 6,65.2809,6.343779,3,90.123648,8,410.168666
2,Caden Powell,Big,2024-02-28 03:16:57,2024-02-28 03:24:21,178,UNLV,1901,Segment 7,4.342937,1.276507,0,2.131354,0,9.700169
2,Caden Powell,Big,2024-02-28 03:27:01,2024-02-28 03:31:04,178,UNLV,1903,Segment 8,59.466409,6.593849,1,81.192469,10,369.521295
2,Caden Powell,Big,2024-02-28 03:33:24,2024-02-28 03:35:18,178,UNLV,1905,Segment 8,0.897065,0.804462,0,0.399297,0,1.81727
2,Caden Powell,Big,2024-02-28 03:37:50,2024-02-28 03:42:59,178,UNLV,1907,Segment 9,2.478609,0.67426,0,0.935872,0,4.259318
2,Caden Powell,Big,2024-02-28 03:44:07,2024-02-28 03:48:10,178,UNLV,1909,Segment 9,1.42504,0.609217,0,0.496343,0,2.258943
2,Caden Powell,Big,2024-02-28 03:51:00,2024-02-28 03:54:14,178,UNLV,1911,Segment 10,1.899243,0.663302,0,1.059439,0,4.821694
2,Caden Powell,Big,2024-02-28 03:55:58,2024-02-28 03:57:40,178,UNLV,1913,Segment 10,0.644421,0.696323,0,0.25357,0,1.154043
2,Caden Powell,Big,2024-02-28 03:58:37,2024-02-28 03:58:51,178,UNLV,1915,Segment 10,0.331636,0.305389,0,0.055303,0,0.251695
2,Caden Powell,Big,2024-02-28 03:59:36,2024-02-28 04:01:11,178,UNLV,1917,Segment 10,1.609647,0.86816,0,1.286626,0,5.855664
2,Caden Powell,Big,2024-02-28 04:02:39,2024-02-28 04:04:45,178,UNLV,1919,Segment 10,1.536999,0.599721,0,1.149778,0,5.232841
2,Caden Powell,Big,2024-02-28 04:06:08,2024-02-28 04:06:45,178,UNLV,1921,Segment 10,0.50891,0.571126,0,0.515161,0,2.344591
2,Caden Powell,Big,2024-02-28 04:09:24,2024-02-28 04:20:12,178,UNLV,1923,Segment 11 (OT),3.411908,0.588343,0,1.066012,0,4.851608
2,Caden Powell,Big,2024-02-28 04:22:25,2024-02-28 04:23:02,178,UNLV,1925,Segment 11 (OT),0.41068,0.670548,0,0.172363,0,0.784454
2,Caden Powell,Big,2024-02-25 00:36:07,2024-02-25 00:41:54,175,Boise St.,1838,Segment 1,83.247107,5.990386,5,110.391675,11,502.412045
2,Caden Powell,Big,2024-02-25 00:44:27,2024-02-25 00:51:53,175,Boise St.,1840,Segment 2,33.568034,4.737272,1,45.019476,7,204.891602
2,Caden Powell,Big,2024-02-25 00:54:19,2024-02-25 01:01:08,175,Boise St.,1842,Segment 3,6.535615,0.681229,0,3.541493,0,16.117962
2,Caden Powell,Big,2024-02-25 01:03:35,2024-02-25 01:07:01,175,Boise St.,1844,Segment 4,2.774284,1.009016,0,1.764955,0,8.032622
2,Caden Powell,Big,2024-02-25 01:08:08,2024-02-25 01:12:21,175,Boise St.,1846,Segment 4,2.971338,0.59511,0,1.174752,0,5.346506
2,Caden Powell,Big,2024-02-25 01:14:43,2024-02-25 01:21:13,175,Boise St.,1848,Segment 5,4.267268,0.634561,0,2.001501,0,9.109186
2,Caden Powell,Big,2024-02-25 01:37:47,2024-02-25 01:45:17,175,Boise St.,1850,Segment 6,81.785981,5.854568,4,104.72986,15,476.644121
2,Caden Powell,Big,2024-02-25 01:47:38,2024-02-25 01:50:13,175,Boise St.,1852,Segment 7,1.195666,0.473441,0,0.403945,0,1.838427
2,Caden Powell,Big,2024-02-25 01:52:35,2024-02-25 01:57:36,175,Boise St.,1854,Segment 7,2.050713,0.547803,0,0.68573,0,3.120879
2,Caden Powell,Big,2024-02-25 01:59:59,2024-02-25 02:03:24,175,Boise St.,1856,Segment 8,2.695693,0.602579,0,1.284359,0,5.845346
2,Caden Powell,Big,2024-02-25 02:04:18,2024-02-25 02:05:32,175,Boise St.,1858,Segment 8,0.510045,0.679301,0,0.176137,0,0.80163
2,Caden Powell,Big,2024-02-25 02:07:49,2024-02-25 02:15:29,175,Boise St.,1860,Segment 9,2.269865,0.644222,0,0.855852,0,3.895134
2,Caden Powell,Big,2024-02-25 02:17:39,2024-02-25 02:22:47,175,Boise St.,1862,Segment 10,40.47707,5.724714,2,57.14629,6,260.082877
2,Caden Powell,Big,2024-02-25 02:25:58,2024-02-25 02:31:09,175,Boise St.,1864,Segment 10,45.909343,3.992767,2,70.992392,10,323.098938
2,Caden Powell,Big,2024-02-15 03:06:12,2024-02-15 03:12:13,162,Utah State,1684,Segment 1,50.675146,6.265842,3,68.447168,5,311.515173
2,Caden Powell,Big,2024-02-15 03:15:29,2024-02-15 03:22:57,162,Utah State,1686,Segment 2,58.344692,5.23537,2,77.478705,7,352.619295
2,Caden Powell,Big,2024-02-15 03:25:37,2024-02-15 03:30:46,162,Utah State,1688,Segment 3,6.153742,1.189084,0,2.895349,0,13.177244
2,Caden Powell,Big,2024-02-15 03:33:45,2024-02-15 03:36:48,162,Utah State,1690,Segment 4,4.613003,0.960886,0,3.10752,0,14.142875
2,Caden Powell,Big,2024-02-15 03:37:42,2024-02-15 03:42:57,162,Utah State,1692,Segment 4,14.161962,3.040627,1,17.131458,2,77.968296
2,Caden Powell,Big,2024-02-15 03:45:28,2024-02-15 03:51:26,162,Utah State,1694,Segment 5,6.483735,0.863613,0,3.149668,0,14.334698
2,Caden Powell,Big,2024-02-15 04:07:37,2024-02-15 04:15:51,162,Utah State,1696,Segment 6,45.599931,6.429222,1,56.674508,3,257.935712
2,Caden Powell,Big,2024-02-15 04:18:39,2024-02-15 04:24:03,162,Utah State,1698,Segment 7,5.71737,0.893052,0,3.332418,0,15.166423
2,Caden Powell,Big,2024-02-15 04:26:43,2024-02-15 04:30:46,162,Utah State,1700,Segment 8,11.060857,3.647524,0,12.796599,1,58.239586
2,Caden Powell,Big,2024-02-15 04:33:33,2024-02-15 04:35:38,162,Utah State,1702,Segment 8,31.738965,5.598433,2,37.522744,2,170.772646
2,Caden Powell,Big,2024-02-15 04:38:24,2024-02-15 04:47:38,162,Utah State,1704,Segment 9,52.055534,5.934051,2,62.750816,6,285.590068
2,Caden Powell,Big,2024-02-15 04:50:17,2024-02-15 04:51:59,162,Utah State,1706,Segment 10,20.119648,5.42231,0,25.888098,4,117.821316
2,Caden Powell,Big,2024-02-15 04:52:30,2024-02-15 04:54:19,162,Utah State,1708,Segment 10,1.451732,1.044595,0,1.192656,0,5.427987
2,Caden Powell,Big,2024-02-15 04:55:36,2024-02-15 04:56:45,162,Utah State,1710,Segment 10,0.793462,0.811183,0,0.820369,0,3.733645
2,Caden Powell,Big,2024-02-15 04:57:38,2024-02-15 04:58:25,162,Utah State,1712,Segment 10,0.693098,0.842439,0,0.623466,0,2.837502
2,Caden Powell,Big,2024-02-15 04:59:21,2024-02-15 05:02:37,162,Utah State,1714,Segment 10,1.540998,0.662156,0,0.860084,0,3.914396
2,Caden Powell,Big,2024-02-15 05:04:51,2024-02-15 05:07:53,162,Utah State,1716,Segment 10,1.400351,0.67833,0,0.878131,0,3.996528
2,Caden Powell,Big,2024-02-07 01:35:15,2024-02-07 01:44:32,155,New Mexico,1590,Segment 1,126.773265,6.281417,9,174.703026,18,795.104383
2,Caden Powell,Big,2024-02-07 01:47:11,2024-02-07 01:50:45,155,New Mexico,1592,Segment 2,1.933356,0.596332,0,0.730925,0,3.326568
2,Caden Powell,Big,2024-02-07 01:53:23,2024-02-07 02:00:23,155,New Mexico,1594,Segment 3,41.7981,5.453377,2,56.322696,3,256.334553
2,Caden Powell,Big,2024-02-07 02:02:45,2024-02-07 02:06:08,155,New Mexico,1596,Segment 4,53.029915,5.810794,3,76.939048,5,350.163219
2,Caden Powell,Big,2024-02-07 02:07:16,2024-02-07 02:09:45,155,New Mexico,1598,Segment 4,3.164139,1.945949,0,2.516448,0,11.452798
2,Caden Powell,Big,2024-02-07 02:12:13,2024-02-07 02:14:42,155,New Mexico,1600,Segment 5,41.355118,5.956491,4,56.242582,1,255.969942
2,Caden Powell,Big,2024-02-07 02:15:45,2024-02-07 02:19:17,155,New Mexico,1602,Segment 5,3.497861,0.64166,0,0.684103,0,3.113475
2,Caden Powell,Big,2024-02-07 02:35:22,2024-02-07 02:44:25,155,New Mexico,1604,Segment 6,40.821784,4.869062,1,50.872412,8,231.529348
2,Caden Powell,Big,2024-02-07 02:46:53,2024-02-07 02:49:32,155,New Mexico,1606,Segment 7,3.354852,2.399724,0,3.694326,0,16.813532
2,Caden Powell,Big,2024-02-07 02:52:04,2024-02-07 02:55:55,155,New Mexico,1608,Segment 7,32.296009,6.001688,4,43.311435,2,197.118002
2,Caden Powell,Big,2024-02-07 02:58:09,2024-02-07 03:00:20,155,New Mexico,1610,Segment 8,1.905547,1.454833,0,2.663896,0,12.123863
2,Caden Powell,Big,2024-02-07 03:01:50,2024-02-07 03:05:45,155,New Mexico,1612,Segment 8,50.161188,6.260974,2,68.578749,8,312.114019
2,Caden Powell,Big,2024-02-07 03:08:03,2024-02-07 03:13:31,155,New Mexico,1614,Segment 9,3.481047,0.744847,0,2.207755,0,10.047882
2,Caden Powell,Big,2024-02-07 03:15:11,2024-02-07 03:17:43,155,New Mexico,1616,Segment 9,0.870296,0.872781,0,0.298303,0,1.35763
2,Caden Powell,Big,2024-02-07 03:20:16,2024-02-07 03:23:45,155,New Mexico,1618,Segment 10,0.528546,0.201962,0,0.025312,0,0.115201
