"","Brendan Wenzel","Caden Powell","Akuel Kot","Sam Griffin","Cam Manyawu"
"START_OF_MOVEMENT",0,0,0,0,0
"START_OF_MOVEMENT_DETECTION_THRESHOLD",0,0,0,0,0
"START_OF_INTEGRATION",0,0,0,0,0
"START_OF_CONCENTRIC_PHASE",0,0,0,0,0
"COUNTERMOVEMENT_DEPTH",0,0,0,0,0
"PEAK_POWER_BM",0,0,1,0,0
"FLIGHT_TIME",0,0,0,1,0
"JUMP_HEIGHT_FT_RELATIVE_LANDING_RFD",0,0,0,0,0
"JUMP_HEIGHT_FT_RELATIVE_PEAK_LANDING_FORCE",0,0,0,0,0
"JUMP_HEIGHT_IMP_DIS",0,0,1,1,0
"JUMP_HEIGHT_IMP_MOM",0,0,0,1,0
"LANDING_RFD",0,0,0,0,0
"JUMP_HEIGHT_FLIGHT_TIME_IN_INCHES",0,0,0,0,0
"JUMP_HEIGHT_IMP_MOM_IN_INCHES",0,0,0,1,0
"MEAN_LANDING_ACCELERATION",0,0,0,0,0
"MEAN_LANDING_POWER",0,1,0,0,0
"MEAN_LANDING_VELOCITY",0,0,0,0,0
"MEAN_TAKEOFF_ACCELERATION",0,0,0,0,0
"CONCENTRIC_MEAN_FORCE",0,0,0,1,0
"ECCENTRIC_MEAN_FORCE",1,1,1,1,1
"ECCENTRIC_MEAN_POWER",0,0,1,0,0
"ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO",0,1,0,0,0
"CONCENTRIC_MEAN_POWER",0,0,0,1,0
"CONCENTRIC_MEAN_POWER_BM",0,0,0,1,0
"ECCENTRIC_MEAN_POWER_BM",0,1,0,0,0
"MEAN_TAKEOFF_VELOCITY",0,0,0,1,0
"PEAK_LANDING_ACCELERATION",0,0,0,0,0
"PEAK_LANDING_FORCE",0,0,0,0,0
"PEAK_LANDING_POWER",0,0,0,0,0
"PEAK_LANDING_VELOCITY",0,0,0,0,0
"PEAK_TAKEOFF_ACCELERATION",0,0,0,0,0
"TAKEOFF_PEAK_FORCE",1,0,1,0,0
"PEAK_POWER",0,0,1,0,0
"CONCENTRIC_PEAK_VELOCITY",0,0,0,1,0
"CONCENTRIC_RFD",0,0,0,0,0
"CONCENTRIC_RFD_100_MS",0,0,0,0,0
"CONCENTRIC_RFD_200_MS",0,0,0,0,0
"CONCENTRIC_RFD_50_MS",0,0,0,0,0
"CONCENTRIC_TIME_TO_PEAK_FORCE",0,0,0,0,0
"CONTRACTION_TIME",1,0,0,0,0
"ECCENTRIC_DURATION",0,0,0,0,0
"MOVEMENT_START_TO_PEAK_FORCE",0,0,0,0,0
"MOVEMENT_START_TO_PEAK_POWER",1,0,0,0,0
"LANDING_NET_PEAK_FORCE_BM",0,0,0,0,0
"PEAK_NET_TAKEOFF_FORCE_BM",0,0,0,0,0
"CONCENTRIC_RFD_BM",0,0,0,0,0
"VERTICAL_VELOCITY_AT_TAKEOFF",0,0,0,1,0
"CONCENTRIC_DURATION",0,1,0,0,0
"CONTRACTION_TIME_ECCENTRIC_DURATION",1,0,0,0,0
"ECCENTRIC_CONCENTRIC_DURATION",0,0,0,0,0
