index,Feature,Coefficient,Player
AAL,TIME,0.036138830080822464,1
SPEEDMAX,TIME,0.05485139436928497,1
JUMPS,TIME,-0.0505946532594987,1
PHYSIOLOAD,TIME,0.011371621101148565,1
EXERTIONS,TIME,-0.047738535361072566,1
DISTANCE,TIME,0.022305618357363985,1
AAL,PEAK_POWER_BM,-0.007058719245238148,1
SPEEDMAX,PEAK_POWER_BM,-0.08043797096469964,1
JUMPS,PEAK_POWER_BM,-0.040116630021149645,1
PHYSIOLOAD,PEAK_POWER_BM,0.0012829347163108525,1
EXERTIONS,PEAK_POWER_BM,-0.014684417892410064,1
DISTANCE,PEAK_POWER_BM,-0.012768052578346444,1
AAL,JUMP_HEIGHT_IMP_DIS,0.0024462697759469795,1
SPEEDMAX,JUMP_HEIGHT_IMP_DIS,-0.04260033226332797,1
JUMPS,JUMP_HEIGHT_IMP_DIS,-0.024364483281999742,1
PHYSIOLOAD,JUMP_HEIGHT_IMP_DIS,0.005960258088741678,1
EXERTIONS,JUMP_HEIGHT_IMP_DIS,-0.012789357009062701,1
DISTANCE,JUMP_HEIGHT_IMP_DIS,-0.00280678202542446,1
AAL,ECCENTRIC_MEAN_FORCE,0.0,1
SPEEDMAX,ECCENTRIC_MEAN_FORCE,0.0,1
JUMPS,ECCENTRIC_MEAN_FORCE,0.0,1
PHYSIOLOAD,ECCENTRIC_MEAN_FORCE,0.0,1
EXERTIONS,ECCENTRIC_MEAN_FORCE,0.0,1
DISTANCE,ECCENTRIC_MEAN_FORCE,0.0,1
AAL,ECCENTRIC_MEAN_POWER,0.0,1
SPEEDMAX,ECCENTRIC_MEAN_POWER,0.0,1
JUMPS,ECCENTRIC_MEAN_POWER,0.0,1
PHYSIOLOAD,ECCENTRIC_MEAN_POWER,0.0,1
EXERTIONS,ECCENTRIC_MEAN_POWER,0.0,1
DISTANCE,ECCENTRIC_MEAN_POWER,0.0,1
AAL,TAKEOFF_PEAK_FORCE,-0.01388472399532658,1
SPEEDMAX,TAKEOFF_PEAK_FORCE,-0.024148968543433846,1
JUMPS,TAKEOFF_PEAK_FORCE,-0.011502398717637086,1
PHYSIOLOAD,TAKEOFF_PEAK_FORCE,-0.007960627702351472,1
